Filename:,25FC01544-CC1_B4_C1-CH1_500.00mA_NAV_50.0C_00_LIV.csv
Test Time:,2025-04-30T07:41:42.822134+00:00
Temperature Set:,50.0,°C
Temperature Measured:,50.03,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OPM Wavelength:,1300.00,nm
OPM Range:,3.653111E-01,W
OPM:,Thorlabs,PM100USB,1933072,1.7.0=S145C,250120306,20-JAN-2025,1,18,289
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2
TEC:,Arroyo 5240 241126048 v1.53 148

set_current[mA],current[A],voltage[V],power[W],power[mW],rd[Ohms],dy/dx(Ith)[a.u],SE[W/A],d2y/dx2(Ith)[a.u]
99.0,0.0990044,1.11584,0.0333625749,33.3625749,2.3801190059503474,0.3610718999999989,0.34183027759999873,-0.004990665737600026
100.0,0.100005,1.11823,0.0337868333,33.7868333,2.2673482912051925,0.37748365000000206,0.3407010227999999,-0.006095216140799918
101.0,0.101117,1.12063,0.0341175422,34.1175422,2.296086751532265,0.3532767000000021,0.34512910080000064,-0.004808152196800263
102.0,0.102126,1.1231,0.0344933867,34.4933867,2.4025974025973884,0.3352220999999993,0.3776646400000002,-0.0017760564912003628
103.0,0.103119,1.12544,0.0347879864,34.7879864,2.350299401197594,0.3290679499999989,0.3719851228000007,0.0017175988895999984
104.0,0.10413,1.12781,0.0351515226,35.1515226,2.341487768347531,0.3565605999999981,0.34475777919999995,0.003787068256000433
105.0,0.105122,1.13013,0.0355011076,35.5011076,2.3240506329114345,0.3405567500000011,0.3376586188000005,0.003159637027200306
106.0,0.106105,1.1324,0.0358326361,35.8326361,2.29655516724909,0.33234990000000053,0.3279049784000002,0.006207168883199846
107.0,0.107125,1.13473,0.0361658074,36.1658074,2.3272003978120437,0.44903155000000083,0.33343262119999856,-7.828181279992386e-05
108.0,0.108116,1.13708,0.0367306992,36.730699200000004,2.328015952143536,0.3852378500000029,0.33408444759999933,-0.012371262251200022
109.0,0.109131,1.1394,0.0369362831,36.936283100000004,2.2828784119106356,0.26725979999999794,0.3511069264000007,-0.010779378499200345
110.0,0.110131,1.14168,0.0372652188,37.2652188,2.267676767676826,0.3001503499999991,0.34752386760000126,-0.0035367096784003128
111.0,0.111111,1.14389,0.0375365838,37.5365838,2.28342513770651,0.30837395,0.3424357723999998,0.0011659634783997414
112.0,0.112128,1.14624,0.0378819667,37.8819667,2.275211127670157,0.34949184999999616,0.35770885399999963,0.0023977038064002935
113.0,0.113124,1.14847,0.0382355675,38.235567499999995,2.2390317700453872,0.3248211000000012,0.3364715704000013,0.0047287893024006876
114.0,0.114111,1.15068,0.0385316089,38.5316089,2.269999999999992,0.36593715000000415,0.31561117639999964,0.002873871467200266
115.0,0.115124,1.15301,0.0389674418,38.9674418,2.292292292292307,0.3371536500000012,0.31557873319999896,-0.004119103292800438
116.0,0.116109,1.15526,0.0392059162,39.205916200000004,2.263210368893321,0.3001540499999962,0.32370308759999883,-0.0025603048816002644
117.0,0.11713,1.15755,0.0395677499,39.567749899999995,2.226095617529872,0.32071209999999795,0.32676147439999953,-0.0012671248959997517
118.0,0.118117,1.15973,0.0398473404,39.8473404,2.1991911021232746,0.3494862500000053,0.32232074680000083,-0.004639276910400294
119.0,0.119108,1.1619,0.0402667224,40.266722400000006,2.1803766105055344,0.3494918499999997,0.34008390440000125,-0.005731504819200515
120.0,0.120135,1.16413,0.0405463241,40.5463241,2.1896722939424285,0.29604324999999676,0.32893309240000035,-0.0012232623280000006
121.0,0.121122,1.16631,0.0408588089,40.8588089,2.1960980490244584,0.32482109999999764,0.31212535199999886,0.0024244766096003546
122.0,0.122134,1.16852,0.0411959663,41.195966299999995,2.1752115480338285,0.30014850000000237,0.32475592640000045,8.576643360038649e-05
123.0,0.123131,1.17068,0.0414591059,41.459105900000004,2.1997981836528377,0.30837395,0.34021400280000036,0.00028280443520020215
124.0,0.124116,1.17288,0.0418127142,41.812714199999995,2.1934197407776534,0.3577173000000009,0.3273864351999988,-0.0005512266032000237
125.0,0.125137,1.17508,0.0421745405,42.174540500000006,2.104477611940404,0.3289338000000015,0.3025534607999992,-0.0012176882368002745
126.0,0.126126,1.17711,0.0424705818,42.4705818,2.1118951612903776,0.28781589999999824,0.31820976639999954,0.0036668475536000256
127.0,0.127121,1.17927,0.0427501723,42.7501723,2.1556886227544245,0.3289338500000021,0.3206430244000002,0.003289692252799927
128.0,0.12813,1.18143,0.0431284495,43.1284495,2.1374811841444763,0.36182439999999616,0.3126185239999996,-0.00591283545440033
129.0,0.129114,1.18353,0.0434738211,43.473821099999995,2.1207584830339696,0.3124828999999991,0.31367196880000053,-0.009103433884799863
130.0,0.130134,1.18568,0.0437534153,43.7534153,2.135054617676264,0.2713725000000018,0.3174203768000007,0.0004820525024001192
131.0,0.131128,1.18783,0.0440165661,44.0165661,2.119838872104658,0.33715739999999883,0.3284056383999999,0.002313024144000009
132.0,0.13212,1.18989,0.0444277301,44.4277301,2.0835405271010004,0.3412663999999985,0.3329121840000005,-0.004057954137599902
133.0,0.133139,1.19202,0.0446990989,44.699098899999996,2.0987038883350104,0.2754833999999988,0.3227149399999989,-0.0020844291791999228
134.0,0.134126,1.1941,0.0449786969,44.978696899999996,2.098950524737619,0.2754833500000018,0.3003487620000004,0.0048735922800000955
135.0,0.13514,1.19622,0.0452500656,45.2500656,2.0932539682540057,0.3412663500000015,0.30515244200000086,0.007405953188799988
136.0,0.136142,1.19832,0.0456612296,45.6612296,2.090680100755619,0.3782697000000006,0.32242053759999917,-0.0014664734704000555
137.0,0.137125,1.20037,0.046006605,46.006605,2.066033016508237,0.3207084000000009,0.3054473927999999,-0.01011890926560011
138.0,0.138141,1.20245,0.0463026464,46.3026464,2.049751243781144,0.2878159499999988,0.2945270724000001,-0.006955312894399783
139.0,0.139135,1.20449,0.0465822369,46.5822369,2.0675743822491297,0.2795960500000021,0.3016979803999997,0.0018946811856001692
140.0,0.140124,1.20655,0.0468618385,46.861838500000005,2.0558882235528677,0.3289338000000015,0.32728746960000027,0.004562238350399584
141.0,0.141139,1.20861,0.0472401045,47.2401045,2.0059880239520465,0.32482109999999764,0.3310038352000004,-0.002796568555200055
142.0,0.142128,1.21057,0.0475114807,47.5114807,1.968111609367266,0.2713706500000015,0.2915006436,-0.0049896282335999
143.0,0.143146,1.21256,0.0477828458,47.782845800000004,2.005988023952157,0.3001503999999997,0.28311339280000025,0.0018409582735996936
144.0,0.144132,1.21459,0.0481117815,48.1117815,2.0464881253157503,0.2919304999999959,0.3019938016000012,0.005878378500800021
145.0,0.145125,1.21661,0.0483667068,48.366706799999996,2.0069721115537917,0.3289319500000012,0.31643348999999976,-0.00022009252639966715
146.0,0.14614,1.21862,0.0487696454,48.7696454,1.9830592924763712,0.3248192500000009,0.3088353915999994,-0.009789118599999883
147.0,0.147132,1.22059,0.0490163453,49.0163453,1.963036963036954,0.23436729999999883,0.2942967944000007,-0.005507015142399932
148.0,0.148142,1.22255,0.04923838,49.23838,1.9658976930792036,0.2713706500000015,0.2960391299999992,0.00508079784960014
149.0,0.149126,1.22451,0.0495590866,49.5590866,1.9909274193547737,0.3371537000000018,0.3048552255999984,0.005115582881599755
150.0,0.150126,1.2265,0.0499126874,49.9126874,1.9610778443113932,0.32482109999999764,0.3080459112000001,-0.001815022896000272
151.0,0.15113,1.22844,0.0502087288,50.208728799999996,1.9658976930793148,0.3083758000000003,0.2944280488000005,-0.00590977565599972
152.0,0.15212,1.23042,0.050529439,50.529439,1.9485108531044695,0.2919286500000027,0.2864681956000002,-0.002904035433600222
153.0,0.153111,1.2323,0.0507925861,50.7925861,1.9128693039559024,0.27959049999999763,0.2978814624000003,0.0017484159247994045
154.0,0.154117,1.23424,0.05108862,51.08862,1.92674360260917,0.32482109999999764,0.3047559224000005,0.0006480931008003415
155.0,0.155104,1.23614,0.0514422283,51.4422283,1.920960480240152,0.3001541000000003,0.30054635039999944,-0.002621748071999386
156.0,0.156116,1.23808,0.0516889282,51.6889282,1.9244157135753432,0.2837050500000018,0.2912700556000003,-0.0007697928176000613
157.0,0.157115,1.24001,0.0520096384,52.0096384,1.9286790557508073,0.3207083500000003,0.2836715084000014,0.0003769752863997584
158.0,0.158107,1.24192,0.0523303449,52.3303449,1.9303482587064251,0.2878159499999988,0.2859745083999986,-0.0007952651551998793
159.0,0.159125,1.24389,0.0525852703,52.5852703,1.9123505976095851,0.2713706500000015,0.29367152679999853,-0.0017703507871998894
160.0,0.160115,1.24576,0.0528730862,52.8730862,1.9023904382470807,0.2919286499999991,0.28725713400000097,-0.004022966695999884
161.0,0.161133,1.24771,0.0531691276,53.169127599999996,1.8774900398406797,0.2754796000000006,0.29008601680000085,-0.002144488900799801
162.0,0.162123,1.24953,0.0534240454,53.424045400000004,1.8589420654911557,0.26725790000000416,0.2981123671999992,0.00038170986559947105
163.0,0.163118,1.2514,0.0537036434,53.703643400000004,1.8734429496761182,0.2795960999999956,0.2773569655999994,-7.240232000054858e-05
164.0,0.16413,1.25329,0.0539832376,53.983237599999995,1.8634778276033332,0.27547959999999705,0.281797222400001,-0.0005973290175996242
165.0,0.165125,1.25514,0.0542546026,54.2546026,1.8277945619335316,0.27959050000000474,0.2820267416000006,-0.00023473944319976912
166.0,0.166116,1.25692,0.0545424186,54.542418600000005,1.8522216674987984,0.2960414,0.27505342800000093,-0.0007757092304003308
167.0,0.167128,1.25885,0.0548466854,54.8466854,1.8650000000000297,0.3001540499999962,0.28705948520000096,-0.005211694534399849
168.0,0.168116,1.26065,0.0551427267,55.1427267,1.8331668331668607,0.2508125999999997,0.27778348879999876,-0.0015724226191993597
169.0,0.16913,1.26252,0.0553483106,55.3483106,1.8512974051895557,0.30015040000000326,0.27462529519999895,0.004107397428800195
170.0,0.17012,1.26436,0.0557430275,55.743027500000004,1.8297009630004493,0.2754796500000012,0.27870504840000015,0.0013676375871998763
