wavelength[nm],power[dBm]
1568.760,-63.503
1568.770,-63.401
1568.780,-63.487
1568.790,-63.540
1568.800,-63.540
1568.810,-63.692
1568.820,-63.833
1568.830,-63.996
1568.840,-64.129
1568.850,-64.329
1568.860,-64.396
1568.870,-64.645
1568.880,-64.858
1568.890,-64.933
1568.900,-65.239
1568.910,-65.272
1568.920,-65.277
1568.930,-65.411
1568.940,-65.439
1568.950,-65.654
1568.960,-65.584
1568.970,-65.565
1568.980,-65.548
1568.990,-65.401
1569.000,-65.315
1569.010,-65.305
1569.020,-65.216
1569.030,-64.996
1569.040,-64.917
1569.050,-64.761
1569.060,-64.694
1569.070,-64.557
1569.080,-64.364
1569.090,-64.290
1569.100,-64.055
1569.110,-63.844
1569.120,-63.772
1569.130,-63.689
1569.140,-63.750
1569.150,-63.577
1569.160,-63.662
1569.170,-63.730
1569.180,-63.749
1569.190,-63.801
1569.200,-63.875
1569.210,-64.117
1569.220,-64.215
1569.230,-64.353
1569.240,-64.518
1569.250,-64.526
1569.260,-64.650
1569.270,-65.062
1569.280,-65.044
1569.290,-64.987
1569.300,-65.205
1569.310,-65.178
1569.320,-65.265
1569.330,-65.300
1569.340,-65.355
1569.350,-65.214
1569.360,-65.285
1569.370,-65.270
1569.380,-65.220
1569.390,-65.032
1569.400,-64.995
1569.410,-64.936
1569.420,-64.860
1569.430,-64.735
1569.440,-64.570
1569.450,-64.363
1569.460,-64.424
1569.470,-64.261
1569.480,-64.057
1569.490,-64.046
1569.500,-64.047
1569.510,-63.990
1569.520,-63.931
1569.530,-63.864
1569.540,-63.887
1569.550,-63.934
1569.560,-64.020
1569.570,-64.025
1569.580,-64.040
1569.590,-64.145
1569.600,-64.468
1569.610,-64.504
1569.620,-64.587
1569.630,-64.877
1569.640,-64.760
1569.650,-64.880
1569.660,-65.011
1569.670,-65.189
1569.680,-64.953
1569.690,-65.138
1569.700,-65.225
1569.710,-65.210
1569.720,-65.219
1569.730,-65.153
1569.740,-65.133
1569.750,-65.118
1569.760,-65.089
1569.770,-65.000
1569.780,-65.010
1569.790,-64.644
1569.800,-64.877
1569.810,-64.728
1569.820,-64.520
1569.830,-64.450
1569.840,-64.312
1569.850,-64.326
1569.860,-64.239
1569.870,-64.022
1569.880,-64.060
1569.890,-64.089
1569.900,-64.017
1569.910,-64.052
1569.920,-64.083
1569.930,-64.066
1569.940,-64.250
1569.950,-64.377
1569.960,-64.308
1569.970,-64.465
1569.980,-64.511
1569.990,-64.632
1570.000,-64.887
1570.010,-64.918
1570.020,-65.102
1570.030,-65.284
1570.040,-65.134
1570.050,-65.321
1570.060,-65.405
1570.070,-65.273
1570.080,-65.337
1570.090,-65.375
1570.100,-65.335
1570.110,-65.243
1570.120,-65.118
1570.130,-65.043
1570.140,-65.137
1570.150,-65.144
1570.160,-64.936
1570.170,-64.750
1570.180,-64.753
1570.190,-64.509
1570.200,-64.574
1570.210,-64.392
1570.220,-64.199
1570.230,-64.290
1570.240,-64.252
1570.250,-64.104
1570.260,-63.996
1570.270,-64.099
1570.280,-64.066
1570.290,-64.091
1570.300,-64.163
1570.310,-64.248
1570.320,-64.293
1570.330,-64.476
1570.340,-64.585
1570.350,-64.626
1570.360,-64.749
1570.370,-64.895
1570.380,-65.128
1570.390,-65.169
1570.400,-65.318
1570.410,-65.506
1570.420,-65.459
1570.430,-65.596
1570.440,-65.525
1570.450,-65.644
1570.460,-65.493
1570.470,-65.583
1570.480,-65.517
1570.490,-65.458
1570.500,-65.313
1570.510,-65.380
1570.520,-65.188
1570.530,-64.906
1570.540,-64.866
1570.550,-64.794
1570.560,-64.739
1570.570,-64.309
1570.580,-64.400
1570.590,-64.395
1570.600,-64.023
1570.610,-63.980
1570.620,-63.804
1570.630,-63.890
1570.640,-63.848
